Sensor 1 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+6.98730469 -5.26464844 +1.17773438 +177.75878906 -7.18505859 +1.77978516 +1489583518.91389990 +828
+6.97851563 -5.26464844 +1.17333984 +177.75878906 -7.29492188 +1.73583984 +1489583518.91880010 +828
+6.97412109 -5.26025391 +1.16894531 +177.78076172 -7.42675781 +1.69189453 +1489583518.92370010 +828
+6.96533203 -5.26025391 +1.16455078 +177.80273438 -7.53662109 +1.66992188 +1489583518.92849990 +828
+6.96093750 -5.26025391 +1.16015625 +177.80273438 -7.66845703 +1.62597656 +1489583518.93339990 +828
+6.95214844 -5.26025391 +1.15576172 +177.82470703 -7.77832031 +1.56005859 +1489583518.93829990 +828
+6.94775391 -5.25585938 +1.14697266 +177.84667969 -7.91015625 +1.51611328 +1489583518.94310000 +828
+6.93896484 -5.25585938 +1.14257813 +177.84667969 -8.04199219 +1.47216797 +1489583518.94800000 +828
+6.93457031 -5.25585938 +1.13818359 +177.86865234 -8.17382813 +1.42822266 +1489583518.95289990 +828
+6.92578125 -5.25585938 +1.12939453 +177.86865234 -8.28369141 +1.36230469 +1489583518.95770000 +828
+6.92138672 -5.25146484 +1.12500000 +177.86865234 -8.41552734 +1.31835938 +1489583518.96260000 +828
+6.91699219 -5.25146484 +1.12060547 +177.89062500 -8.52539063 +1.27441406 +1489583518.96750000 +828
+6.90820313 -5.25146484 +1.11181641 +177.89062500 -8.63525391 +1.20849609 +1489583518.97230010 +824
+6.90380859 -5.24707031 +1.10742188 +177.89062500 -8.76708984 +1.16455078 +1489583518.97720000 +824
+6.89501953 -5.24707031 +1.09863281 +177.89062500 -8.85498047 +1.09863281 +1489583518.98200010 +824
+6.89062500 -5.24267578 +1.09423828 +177.89062500 -8.96484375 +1.03271484 +1489583518.98690010 +824
+6.88623047 -5.24267578 +1.08544922 +177.89062500 -9.07470703 +0.98876953 +1489583518.99180010 +824
+6.87744141 -5.24267578 +1.07666016 +177.86865234 -9.18457031 +0.92285156 +1489583518.99659990 +824
+6.87304688 -5.23828125 +1.07226563 +177.86865234 -9.27246094 +0.85693359 +1489583519.00149990 +824
+6.86425781 -5.23828125 +1.06347656 +177.86865234 -9.36035156 +0.81298828 +1489583519.00640010 +820
